!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
ah non! c'est pas le moment... je suis ‚puis‚. allez! Du vent!	°Ú¤£¡A²{¦b¤£¬O®É­Ô¡I§Ú²ÖÃz¤F¡Aºu°Õ¡I
ah oui? tu pars vermine? illusion! comme moi tu es bloqu‚ ici … jamais!	³á¡H§A·Q¨«¡H§@¹Ú¡I§A¸ò§Ú¤@¼Ë¥Ã»·§x¦b³o
ah s! parti microbo! illusione! come me sei bloccato qui dentro per sempre!	³á¡H§A·Q¨«¡H§@¹Ú¡I§A¸ò§Ú¤@¼Ë¥Ã»·§x¦b³o
ah! badesalz! bist gar nicht so šbel! die feile in dem topf schenk ich dir!	°Ú¡I¨N¯DÆQ¡I§A¤£²Â¹À¡I¸J¸Ìªº¾V¤M°e§A¡I
ah! bath salts! you're o.K. you know! the file in that pot, 'tisyours...	°Ú¡I¨N¯DÆQ¡I§A¤£²Â¹À¡I¸J¸Ìªº¾V¤M°e§A¡I
ah! bath salts! you're ok after all. the file in that pot...it'syours!	°Ú¡I¨N¯DÆQ¡I§A¤£²Â¹À¡I¸J¸Ìªº¾V¤M°e§A¡I
ah! dei sali da bagno! non sei cos scemo! la lima nella scodella...regalo!	°Ú¡I¨N¯DÆQ¡I§A¤£²Â¹À¡I¸J¸Ìªº¾V¤M°e§A¡I
ah! des sels de bain! t'es pas si bˆte! la lime dans ce bol l…... c'est cadeau!	°Ú¡I¨N¯DÆQ¡I§A¤£²Â¹À¡I¸J¸Ìªº¾V¤M°e§A¡I
ah, capisco... andate a liberare quel povero bimbo...perdonate la diffidenza!	°Ú¡A§ÚÀ´¤F¡I§A­Ì­n±Ï¨º«Ä¤l¡A©êºp¦hºÃ¤F
ah, now i understand! you want to free this poor child. excuse my suspicion...	°Ú¡A§ÚÀ´¤F¡I§A­Ì­n±Ï¨º«Ä¤l¡A©êºp¦hºÃ¤F
aide-nous … retrouver le mouflet du vieil angoulafre!	À°§Ú­Ì§ä¦Ñ¦w­ô©Ôµáªº¤p«Ä¡I
aiutaci a uscire da l…, principessa degli abissi!	²`®ü¤½¥D¡AÀ°§Ú­ÌÂ÷¶}³o¸Ì¡I
alla buon'ora! abbiamo ripreso il principe! addio! non vi saluto!	¤Ó¦n¤F¡I¤ı¤l±Ï¦^¨Ó¤F¡A§Ú­Ì°{°Õ¡I
allez bouge de l… gros tas!	§ÖÂI°Ê¤@°Ê¡A§A³o®y¦×¤s¡I
allez c'est l'heure gros fain‚ant... debout et que ‡a saute!	§ÖÂI°ÕÃi°©ÀY¡A¸Ó°_§É¤F¡I
allez descend morveux! on n'a pas que ‡a … faire!	§Ö¤U¨Ó¡A¯ä¤p¤l¡I§Ú­ÌÁÙ¦³¨Æ­n¿ì¡I
allez voir l'oiseau en face! il a 2 passions: la musique et les champignons	¥h¹ï­±§ä¨º°¦³¾¡A¨e·R­µ¼Ö©MÄ¨Û£¡I
allez voir tom notre maŒtre horloger il va vous faire passer le temps...	¥h§äÄÁ¦K´ö©i¡A¥L³ÌÀ´¥´µo®É¶¡¡K¡K
allora bambola, mi dai un bacetto? conosci di certo una scorciatoia!	Ä_¨©¡A·Q¿Ë¤@¤U¶Ü¡H§Aª¾¹Dªñ¸ô§a¡I
allora vecchio ramo! abbiamo messo radici!	¦Ñ¤ìÀY¡AÁÙ¦b¨ºÃä¥Í®Ú³á¡H
allora, si trova sempre il tempo di gironzolare? ti tengo d'occhio, io!	ÁÙ¦b¨º®Ì°Ú¡H§Ú¨nµÛ§A­Ì©O¡I
allora, Š contenta?	³o¼Ë§Aº¡·N¤F¶Ü¡H
alors vieille branche... on prend racine?	¦Ñ¤ìÀY¡AÁÙ¦b¨ºÃä¥Í®Ú³á¡H
alright baby, wanna little kiss? you know the short cut!	Ä_¨©¡A·Q¿Ë¤@¤U¶Ü¡H§Aª¾¹Dªñ¸ô§a¡I
am besten amsieren wir sie mal 'ne sekunde!	±o·Q¿ìªk³r³o¨â­Ó¦Ñ³Ã¥ë¯º¤@¤U¡I
am dorfausgang lag das bekannte schloss, das zu besichtigen sie sich aufmachten	§ø¥~¦³®y«°³ù¡A¨â¤H¨M©w³}³}
am ende vom dorf, das neben dem brunnen...	¦b§ø¤lºÉÀY¡A¦³¼Q¬u¨º¶¡¡C
amate cos tanto il vostro nuovo re da dipingerlo con tanto ardore!	§A­Ì³o»ò·R·s°ê¤ı¡Aµe±o³o»ò°_«l¡I
ambos aventureros descendieron a las simas insondables de un mundo submarino extra¤o y desconocido.	¨â¦ì«_ÀIªÌ¡A²`¤J­¯¥Í®ü©³¥@¬Éªº«Õ·t²`²W¡K¡K
amenez-lui le champignon que l'elfe d‚signera en ‚change d'une friandise!	§â¥P¤l«üªºÛ£®³µ¹¨e¡A°O±o¥ı°e¥÷¤pÂ§¡I
amoniak and his two henchmen must be neutralized by making them eat the elixir of kindness with their favorite food. to capture the cockroaches, which can do all kinds of weird things, it's better to put on a glove. amoniak only likes ladybugs, but a well-disguised cockroach may do the trick.	­n¨î¥ñªü¼¯¥§¨È©M¥L¨â­Ó¤â¤U¡A±o§â¤Íµ½ÃÄ¤ô²V¶i¥L­Ì³Ì·R¦YªºªF¦è¸Ì¡CÁ­½¸«ÜÃø·d¡A³Ì¦nÀ¹¤W¤â®M§ì¡Cªü¼¯¥§¨È¥u·R¿]ÂÎ¡A¦ı¥´§ê±o¹³ªºÁ­½¸À³¸Ó¤]¯àÃ©²V¹LÃö¡C
amoniak and his two henchmen must be neutralized by making them eat the elixir of kindness with their favourite food. to capture the cockroaches, which can do all kinds of weird things, it's better to put on a glove. amoniak only likes ladybirds, but a well disguised cockroach may do the trick.	­n¨î¥ñªü¼¯¥§¨È©M¥L¨â­Ó¤â¤U¡A±o§â¤Íµ½ÃÄ¤ô²V¶i¥L­Ì³Ì·R¦YªºªF¦è¸Ì¡CÁ­½¸«ÜÃø·d¡A³Ì¦nÀ¹¤W¤â®M§ì¡Cªü¼¯¥§¨È¥u·R¿]ÂÎ¡A¦ı¥´§ê±o¹³ªºÁ­½¸À³¸Ó¤]¯àÃ©²V¹LÃö¡C
amoniak und seine beiden helfer kann man dadurch neutralisieren, DASS man ihnen - versteckt in ihrer lieblingsspeise - den freundtrunk eingibt. um die kchenschaben zu fangen, muss man sie aus dem auge heraus- jagen,indem man die zunge zieht und mit der hand in die ohren greift. ist sicher besser, einen handschuh zu benutzen... amoniak mag nur maik„fer, aber eine geschickt "geschminkte" schabe reicht wohl, ihn hinters licht zu fhren...	­n¨î¥ñªü¼¯¥§¨È©M¥L¨â­Ó¤â¤U¡A±o§â¤Íµ½ÃÄ¤ô²V¶i¥L­Ì³Ì·R¦YªºªF¦è¸Ì¡CÁ­½¸«ÜÃø·d¡A³Ì¦nÀ¹¤W¤â®M§ì¡Cªü¼¯¥§¨È¥u·R¿]ÂÎ¡A¦ı¥´§ê±o¹³ªºÁ­½¸À³¸Ó¤]¯àÃ©²V¹LÃö¡C
and who says you're going there for the right reason?	½Ö»¡§A­Ì¥h¨º¬O¦³¥¿·í²z¥Ñ¡H
andate a trovare tom, il nostro mastro orologiaio, vi far… passare il tempo...	¥h§äÄÁ¦K´ö©i¡A¥L³ÌÀ´¥´µo®É¶¡¡K¡K
andate al castello! ma attenzione, un gigante affamato sbarra la strada!	Â÷¶}§ø¤l©¹«°³ù¡I¤p¤ß°§¾j¥¨¤H¾×¸ô¡I
andate dall'uccello l di fronte! ha due sole passioni: la musica e i funghi	¥h¹ï­±§ä¨º°¦³¾¡A¨e·R­µ¼Ö©MÄ¨Û£¡I
angesaugt durch ein rohr kamen sie nach oben	³Q§l¶iºŞ¤l¡A¯B¥X¤ô­±¡I
any chance of a treasure around here?	³oªşªñ·|¤£·|¦³Ä_ÂÃ°Ú¡H
aprende, listill0, que soy un gran rey es el demonio quien me tiene encerrado.	¯ä¤p¤l¡A§Ú¥i¬O°¶¤j°ê¤ı¡I´cÅ]§â§ÚÃö³o¡I
are you happy now?	³o¼Ë§Aº¡·N¤F¶Ü¡H
as THE GObliins return triumphantly to the village, they notice that the buffoon looks strange...	¤pºëÆF³Í±Û¦^§ø¡A«o¨£¤p¤¡¯«¦â¦³²§¡K¡K
as a matter of fact, we are salesmen...	¨ä¹ê¡A§Ú­Ì¬O¨Ó½æ¨ê¤lªº¡K¡K
as a matter of fact, we're salesmen...	¨ä¹ê¡A§Ú­Ì¬O¨Ó½æ¨ê¤lªº¡K¡K
aspirados por un tubo alcanzaron la superficie	³Q§l¶iºŞ¤l¡A¯B¥X¤ô­±¡I
aspirati da untubo, rie mersero alla superficie!	³Q§l¶iºŞ¤l¡A¯B¥X¤ô­±¡I
aspir‚s dans un tuyau,ils remontŠrent …la surface!	³Q§l¶iºŞ¤l¡A¯B¥X¤ô­±¡I
assolutamente no vecchio mio! sto solo facendo il bagno!	¤~¨S¦³¡A¦Ñ¥S¡A§Ú¥u¬O¦b¬~¾ş¦Ó¤w¡C
attends un peu que je t'attrape avorton, et je te tordrai le cou!	µ¹§Úµ¥µÛ¡A¯ä¤p°­¡A§ì¨ì´N§áÂ_§A²ä¤l¡I
auf die beine, elefantenbaby!	§ÖÂI°Ê¤@°Ê¡A§A³o®y¦×¤s¡I
ausgezeichnet! legt ihn in meine traum- und musikmaschine und kostet mal!	¤Ó´Î¤F¡I©ñ¶i§Úªº­µ¼Ö³y¹Ú¾÷¡AÀ|¤@¤f¡I
aux abords du chƒteau maudit, tout s'est d‚traqu‚. quand on entre par une des portes de l'arbre aux horloges, il est difficile de pr‚voir par o— l'on va ressortir... pour se faire ouvrir la porte de tom, le maŒtre-horloger, il faut attirer l'attention du maire avec un ballon. mais tom ne remettra aux gobliins un exemplaire de son savoir-faire que s'ils remplacent le tic-tac de l'horloge par une m‚lodie de quelques notes, compos‚e par des musiciens talentueux.	«°³ùªşªñ¥ş¶Ã¤F®M¡A¨«¶iÄÁ¾ğªºªù¡A¥X¨Ó·|¨ì­ş½Ö¤]»¡¤£·Ç¡C­nÅıÄÁ¿ö¤j®v´ö©i¶}ªù¡A±o¥ı¥Î®ğ²y¤Ş¶}§øªøªºª`·N¤O¡C¦ı´ö©i±oµ¥¥L­Ì§â®ÉÄÁ¨ë¦ÕªººwµªÁn´«¦¨´X¦ì¼Ö¤âÃĞªºµu¦±¡A¤~ªÖÅS¤@¤â¡C
ayudadnos a salir de aqu¡, ­oh princesa de los abismos!	²`®ü¤½¥D¡AÀ°§Ú­ÌÂ÷¶}³o¸Ì¡I
because two outstanding heroes will try theirluck!	¦]¬°¨â¦ì¤j­^¶¯­n¥X°¨¤F¡I
before drinking it, shouldn't i take another look around?	³Ü³o­Ó¤§«e¡A­n¤£­n¦A¬İ¬İ¥|©P¡H
beh, ribuongiorno, signor albero! non pensavo di rivederla cos presto!	¾ğ¥ı¥Í¡A¤S¨£­±¤F¡I¨S·Q¨ì³o»ò§Ö¡I
ben alors mon p'tit bonhomme qu'est-ce-que tu fais perch‚ l…-haut?	³Ş¡A¤p³Ã¥ë¡A§A¯¸¦b¤W­±·F¹À¡H
ben oui je l'aime! il a fait de moi son pr‚parateur officiel de repas royaux!	·íµM·R°Ú¡I¥LÁÙ«Ê§Ú·í±s¥Î¸Õµæ©x©O¡I
ben si justement... j'ai la guitare qui me d‚mange!	¦n°Ú¦n°Ú¡I§Ú¤âÄo¥¿·Q¼u¦N¥L©O¡K¡K
bene, adesso Š sparito il mocciosetto, e senza lasciare un recapito!	¦n¤F¡A³o¤U¤p°­¤£¨£ÂÜ¼v¤F¡I
bevor ich diesen trunk schlucke, sollt ich mich vielleicht nochmal umsehen!	³Ü³o­Ó¤§«e¡A­n¤£­n¦A¬İ¬İ¥|©P¡H
bewohnt vom ausbund des b”sen...	¦íµÛ¨¸´c¤Æ¨­ªº´cÅ]¡K¡K
bien le bonjour cher arbre, donnez-nous un conseil s'il-vous-plaŒt!	¶Ù¡A¾ğ§B§B¡A¥i¥Hµ¹­Ó«ØÄ³¶Ü¡H
bien s–r il y a un moyen! Lui faire absorber de l'‚lixir de gentillesse!	·íµM¦³¿ìªk¡IÅı¥L³Ü¤U¤¯·OÃÄ¤ô´N¦æ¡I
bin grade sehr besch„ftigt!	©êºp¡I§Ú¨SªÅ¡I
bisognerebbe riuscire a distrarre questi due vecchiardi.	±o·Q¿ìªk¤Ş¶}³o¨â­Ó¦ÑÀY¤l¡C
bitte laá uns durch!	«ô°UÅı§Ú­Ì¹L¥h°Õ¡I
bitte, kleiner prinz, sie bringen uns ganz sch™n in versp„tung, los kommt!	¤p¤ı¤l¡A«ô°U§O©ì®É¶¡¡A§Ö¸ò¤W¡I
bizarre un oeil dans un crƒne!	©_©Ç¡A¾uÅ\¸Ì¦³°¦²´·ú¡I
bloss nicht, ist wirklich der falsche moment! bin v”llig ersch”pft! haut ab!	°Ú¤£¡A²{¦b¤£¬O®É­Ô¡I§Ú²ÖÃz¤F¡Aºu°Õ¡I
bon maintenant il a disparu le mouflet et sans laisser d'adresse!	¦n¤F¡A³o¤U¤p°­¤£¨£ÂÜ¼v¤F¡I
bonjour ami cafard! pas commode de se d‚placer ici!	«¢Åo¡AÁ­½¸¥S¡I³o¸Ì¯u¤£¦n¨«¡I
bonjour madame, il fait beau l…-dessous?	¤Ó¤Ó¦­¦w¡A¤U­±¤Ñ®ğÁÙ¦n¶Ü¡H
borrow the carpet and come and see me, i can't hear you from here!	­É¦a´à¤W¨Ó¨£§Ú¡A³o¸ÌÅ¥¤£²M·¡¡I
borrow the carpet and come up to see me. i can't hear you from up here!	­É¦a´à¤W¨Ó¨£§Ú¡A³o¸ÌÅ¥¤£²M·¡¡I
bring him the mushroom that the nymph shows, in exchange for a little treat!	§â¥P¤l«üªºÛ£®³µ¹¨e¡A°O±o¥ı°e¥÷¤pÂ§¡I
bring him the mushroom the nymph shows you in exchange for a little treat.	§â¥P¤l«üªºÛ£®³µ¹¨e¡A°O±o¥ı°e¥÷¤pÂ§¡I
bringt ihm einen pilz. Fr eine kleine leckerei zeigt euch die elfe, welchen!	§â¥P¤l«üªºÛ£®³µ¹¨e¡A°O±o¥ı°e¥÷¤pÂ§¡I
brother dwarf, here we are! we have the two elements!	¸G¤H¥S§Ì¡A§Ú­Ì¨Ó¤F¡I¨â¼Ë³£®³¨ì¤F¡I
buenos d¡as, se¤ora, ¨se est  bien ah¡ abajo?	¤Ó¤Ó¦­¦w¡A¤U­±¤Ñ®ğÁÙ¦n¶Ü¡H
buongiorno amico scarafaggio ! mica facile muoversi qui!	«¢Åo¡AÁ­½¸¥S¡I³o¸Ì¯u¤£¦n¨«¡I
buongiorno caro albero! ci dia un consiglio per favore!	¶Ù¡A¾ğ§B§B¡A¥i¥Hµ¹­Ó«ØÄ³¶Ü¡H
buongiorno signora, fa bello l… sotto?	¤Ó¤Ó¦­¦w¡A¤U­±¤Ñ®ğÁÙ¦n¶Ü¡H
but all is not lost!	¦ı¬OÁÙ¦³±Ï¡I
but all is notlost!	¦ı¬OÁÙ¦³±Ï¡I
bye now! we've rescued the prince. see you later! we have to hurry!	¤Ó¦n¤F¡I¤ı¤l±Ï¦^¨Ó¤F¡A§Ú­Ì°{°Õ¡I
c'est bien la premiŠre fois que je vois un cafard en ray-ban et en baskets!	²Ä¤@¦¸¬İ¨ìÁ­½¸À¹¾¥Ãè¬ï²y¾c¡I
c'est pour un sablier? bon remplacez le tic-tac de l'horloge par une m‚lodie...	­n¨Fº|¡H¦n¡A§âÄÁªººwµª´«¦¨±Û«ß§a¡I
c'est un hold-up! la caisse vite!	¥´§T¡I¿ú³q³q¥æ¥X¨Ó¡I
c'est un sceau... et alors?	³o¬O­Ó¦L³¹¡K¡K¨º¤S«ç¼Ë¡H
c'est une belle bougie... mais elle n'a pas de mŠche...	º}«GªºÄúÀë¡A¥i±¤¨SÀëªä¡C
c'est une machine … r‚duire que le terrible d‚mon m'a forc‚ … construire!	³o¬OÁY¤p¾÷¡A¬O¨º¥i©Èªº´cÅ]¹G§Ú³yªº¡I
c'mon lazyhead, time to get up!	§ÖÂI°ÕÃi°©ÀY¡A¸Ó°_§É¤F¡I
c'mon, get down, peewee! we have other things to do!	§Ö¤U¨Ó¡A¯ä¤p¤l¡I§Ú­ÌÁÙ¦³¨Æ­n¿ì¡I
c'mon, get down, we've other things to do!	§Ö¤U¨Ó¡A¯ä¤p¤l¡I§Ú­ÌÁÙ¦³¨Æ­n¿ì¡I
c'mon, move, you big heap!	§ÖÂI°Ê¤@°Ê¡A§A³o®y¦×¤s¡I
c'Š qualcosa di prezioso qui?	³o¸Ì¦³¤°»ò­È¿úªF¦è¶Ü¡H
can i help you?	¦³¤°»ò¨Æ¶Ü¡H
can you help us, noble magician, to make the prince drink?	´L·qªºªk®v¡A¯àÀ°¤ı¤l³Ü¤ô¶Ü¡H
car deux h‚ros d'envergure vont tenter l'aventure!	¦]¬°¨â¦ì¤j­^¶¯­n¥X°¨¤F¡I
caro artista, vorrebbe suonarci un'aria del suo repertorio?	ÃÀ³N®a¥ı¥Í¡A¯à¬°§Ú­Ìºt«µ¤@¦±¶Ü¡H
caro artista, ¨se dignar¡a tocarnos una tonada de su repertorio?	ÃÀ³N®a¥ı¥Í¡A¯à¬°§Ú­Ìºt«µ¤@¦±¶Ü¡H
caro maestro desidereremmo ricevere una testimonianza del suo talento...	¿Ë·Rªº¤j®v¡A·Q¨£ÃÑ±zªº¤âÃÀ¡K¡K
caro maestro, nos complaceria tener una muestra de su talento...	¿Ë·Rªº¤j®v¡A·Q¨£ÃÑ±zªº¤âÃÀ¡K¡K
caro signore, lei sembra influente, ci aiuterebbe nella nostra ricerca?	¤j¤H³o»ò¦³¬£ÀY¡A¯à§_§U§Ú­Ì¤@Áu¤§¤O¡H
carrying the contents of the guards' chest, the key to which is forged from scrap using the imprint, the gobliins must lift up the well cover by attaching schwarzy to the hoist. they can do this only by distracting him. while fingus makes the monster's jaws move, winkle talks through his mouth. then schwarzy must be frightened enough to lose his balance.	®³¨ìÄµ½ÃÂd¸ÌªºªF¦è«á¡A¥Î©İ¤Uªº¦L¤l¥´¤@§â¼oÅKÆ_°Í¡A§âªü¿Õ¸j¤Wµ±½L¡A´N¯à¼µ¶}¤«»\¡C±o¥ı¤À´²¥Lªºª`·N¤O¡Gªâ®æ´µ´µ¾ŞÁa©Çª«¤U¤Ú¡A·Å¥i±q¼L¸ÌÁ¿¸Ü¡C³Ì«á¦AÀ~¥L¤@¸õ¡AÅı¥L¯¸¤£Ã­ºL¤U¥h¡C
carrying the contents of the guards' chest, whose key is to be forged from scrap using the imprint, the gobliins must lift up the well cover by attaching schwarzy to the hoist. they can do this only by distracting him. while fingus makes the monster's jaws move, winkle talks through his mouth. then schwarzy must be frightened enough to lose balance.	®³¨ìÄµ½ÃÂd¸ÌªºªF¦è«á¡A¥Î©İ¤Uªº¦L¤l¥´¤@§â¼oÅKÆ_°Í¡A§âªü¿Õ¸j¤Wµ±½L¡A´N¯à¼µ¶}¤«»\¡C±o¥ı¤À´²¥Lªºª`·N¤O¡Gªâ®æ´µ´µ¾ŞÁa©Çª«¤U¤Ú¡A·Å¥i±q¼L¸ÌÁ¿¸Ü¡C³Ì«á¦AÀ~¥L¤@¸õ¡AÅı¥L¯¸¤£Ã­ºL¤U¥h¡C
carrying the contents of the guards' chest, whose key is to be forged from scrap, using the imprint, the gobliins must lift up the well cover by attaching schwarzy to the hoist. they can do this only by distracting him. while fingus makes the monster's jaws move, winkle talks through his mouth. then schwarzy must be frightened enough to lose balance.	®³¨ìÄµ½ÃÂd¸ÌªºªF¦è«á¡A¥Î©İ¤Uªº¦L¤l¥´¤@§â¼oÅKÆ_°Í¡A§âªü¿Õ¸j¤Wµ±½L¡A´N¯à¼µ¶}¤«»\¡C±o¥ı¤À´²¥Lªºª`·N¤O¡Gªâ®æ´µ´µ¾ŞÁa©Çª«¤U¤Ú¡A·Å¥i±q¼L¸ÌÁ¿¸Ü¡C³Ì«á¦AÀ~¥L¤@¸õ¡AÅı¥L¯¸¤£Ã­ºL¤U¥h¡C
ce d‚mon surgi du n‚ant a d‚tr“n‚ notre bon roi et rŠgne … sa place...	¨e¿y¤F¤ı¦ì¡A´«¦Û¤v·í®a¡K¡K
certo che conosco il modo! bisogna fargli ingurgitare l'elisir della bont…	·íµM¦³¿ìªk¡IÅı¥L³Ü¤U¤¯·OÃÄ¤ô´N¦æ¡I
certo che lo amo! ha fatto di me il preparatore ufficiale di pranzi reali!	·íµM·R°Ú¡I¥LÁÙ«Ê§Ú·í±s¥Î¸Õµæ©x©O¡I
certo! ecco un pezzo che io stesso ho composto!	¨S°İÃD¡I³o­º¬O§Ú¦Û¤v¼gªº¦±¤l¡K¡K
cet enfant est poss‚d‚! je l'emmŠne dans mon laboratoire. il faut lui faire boire de l'eau de ma fontaine. prenez-en et rejoignez-moi!	³o«Ä¤l¤¤¨¸¤F¡I§Ú±a¥L¦^¹êÅç«Ç¡C±oÅı¥L³Ü¼Q¬u¤ô¡A§Ö¥h¨ú¤ô¦^¨Ó¨£§Ú¡I
che cos'Š mai questo? ne farei volentieri uno stuzzicadenti!	³o¬O¤°»ò¡H®³¨Ó·í¤úÅÒ¥¿¦n¡I
che cosa! si mangia sempre qui! ma ditemi non avete visto mio fratello?	­W°Ú¡I³o¸Ì¦Ñ¬O³Q¦Y¡I§A¨£¹L§Ú¥S§Ì¶Ü¡H
che testardi! d'accordo, potete entrare!	¯u¬O¦ºÄñÄê¥´¡I¦n§a¡A¶i¨Ó§a¡C
che volete che me ne faccia di un segnalibro?	®ÑÅÒ­n§Ú®³¨Ó·F¹À¡I
cher artiste, voudriez-vous nous jouer un air de votre r‚pertoire?	ÃÀ³N®a¥ı¥Í¡A¯à¬°§Ú­Ìºt«µ¤@¦±¶Ü¡H
cher maŒtre nous aimerions recevoir un t‚moignage de votre talent...	¿Ë·Rªº¤j®v¡A·Q¨£ÃÑ±zªº¤âÃÀ¡K¡K
cher monsieur vous avez l'air influent nous aiderez-vous dans notre quˆte?	¤j¤H³o»ò¦³¬£ÀY¡A¯à§_§U§Ú­Ì¤@Áu¤§¤O¡H
come up here if you dare - that's what the carpet is for!	¦³ºØ´N¤W¨Ó°Ú¡A¦a´à´N¬O·F³o­Ó¥Îªº¡I
come up here if you dare. that's what the carpet is for!	¦³ºØ´N¤W¨Ó°Ú¡A¦a´à´N¬O·F³o­Ó¥Îªº¡I
comprendo. vais a liberar a ese pobre ni¤o... ­perd¢n por mi desconfianza!	°Ú¡A§ÚÀ´¤F¡I§A­Ì­n±Ï¨º«Ä¤l¡A©êºp¦hºÃ¤F
con permiso, se¤or... ­est  vd mal, no tiene buena pinta...!	®¤§Úª½¨¥¡A¥ı¥Í¡K¡K±z³o³B¹Ò¤£¤Ó§®¡I
conosco la vicenda. Il figliolo Š prigioniero dell'ignobile amoniak.	§Úª¾¹D¡A¬O¥i´cªºªü¼¯¥§¨È§ì¨«ªº
conozco el asunto. es el innoble AMONIAK quien retiene al ni¤o	§Úª¾¹D¡A¬O¥i´cªºªü¼¯¥§¨È§ì¨«ªº
cosa fate l… dentro?	§A¦b¸Ì­±·F¹À¡H
cosa stai aspettando scemo, la medaglia?	ÁÙµ¥¤°»ò¡A²Â³J¡Aµ¥µo¼úµP³á¡H
could you let us pass please?	¥i¥HÅı§Ú­Ì¹L¥h¶Ü¡H
credi di poter uscire da qui? eh no! ecco la mia ultima vendetta!	§A·Q°k¥X¥h¡H§@¹Ú¡I³o¬O§Ú³Ì²×ªº´_¤³¡I
crois-tu pouvoir sortir d'ici? nenni! c'est l… ma vengeance ultime!	§A·Q°k¥X¥h¡H§@¹Ú¡I³o¬O§Ú³Ì²×ªº´_¤³¡I
d'accord mais apporte-moi maintenant du bon picrate!	¦n°Ú¡A¥ı®³¦n°s¨Ó¡I
d'accord mais donne-moi de quoi manger avant!	¦n°Ú¡A¥ıµ¹§ÚªF¦è¦Y¡I
d'accord petit gnome mais apporte-moi du bon picrate et de quoi manger!	¦n°Ú¤p¸G¤l¡A¥ı®³¦n°s¨Ó¦A»¡¡I
d'accordo piccolo gnomo, ma portami del buon vinello e qualcosa da mangiare!	¦n°Ú¤p¸G¤l¡A¥ı®³¦n°s¨Ó¦A»¡¡I
d'accordo, ma dammi prima qualcosa da mangiare!	¦n°Ú¡A¥ıµ¹§ÚªF¦è¦Y¡I
d'accordo, ma non vedo niente da quando amoniakmi ha rubato gli occhi!	§Ú¤]·Q¡A¦ıªü¼¯¥§¨È°½¨«§ÚÂù²´¡A¬İ¤£¨£
d'accordo, ma portami del buon vinello!	¦n°Ú¡A¥ı®³¦n°s¨Ó¡I
da seid ihr ja wieder zurck! nehmt die tr hier, dann kommt ihr zu tazaar...	§A­Ì¦^§ø¤l°Õ¡I³o®°ªù³q©¹¶ğÂÄº¸¡I
dai scendi, moccioso! abbiamo altro da fare!	§Ö¤U¨Ó¡A¯ä¤p¤l¡I§Ú­ÌÁÙ¦³¨Æ­n¿ì¡I
dai, fannullone... In piedi e sbrigati!	§ÖÂI°ÕÃi°©ÀY¡A¸Ó°_§É¤F¡I
dai, muoviti montagna di carne!	§ÖÂI°Ê¤@°Ê¡A§A³o®y¦×¤s¡I
dai, vattene brutta copia di una tartaruga ninja!	½ö¤U¡A§A³o°¦°²§ÔªÌÀt¡I
damn cheek! if i had one i'd really give it to you.	§A³oµLÂ§°­¡I¦³ªº¸Ü¦­´N½à§A¤@¤Ú´x¡I
dank euch dafr, meinen durst gestillt zu haben. Kletter ruhig auf meine hand!	ÁÂÁÂ§A¸Ñ¤F§Úªº´÷¡IÅı§Aª¦¨ì§Ú¤â¤W¡K¡K
das h„tten wir! wir haben maloche fr dich, ambossmeister!	¦n¤F¡I¦³¬¡­nµ¹§A°µ¡AÃÀ³N®a¡I
das ist eine sch™ne kerze! hat aber leider keinen docht...	º}«GªºÄúÀë¡A¥i±¤¨SÀëªä¡C
das ist eine verkleinerungsmaschine, die der b”se d„mon mich zu bauen zwang!	³o¬OÁY¤p¾÷¡A¬O¨º¥i©Èªº´cÅ]¹G§Ú³yªº¡I
das ist zu gef„hrlich! dem mssen wir richtig angst einjagen!	¤Ó«_ÀI¤F¡I±o¦A¦hÀ~À~¥L¡K¡K
das kind ist besessen! _ ich bringe ihn in mein labor! der muss wasser von meinem springbrunnen bekommen - holt mir schnell davon und kommt zu mir	³o«Ä¤l¤¤¨¸¤F¡I§Ú±a¥L¦^¹êÅç«Ç¡C±oÅı¥L³Ü¼Q¬u¤ô¡A§Ö¥h¨ú¤ô¦^¨Ó¨£§Ú¡I
das stck eisen da ist nutzlos, solang ich den schlšsselabdruck nicht habe...	¨S¦³Æ_°Í©İ¦L¡A³o°ï¼oÅK¨S¥Î¡I
das werkzeug in der truhe kann man nur durch koordination der beiden gobliins in die hand bekommen. winkle ”ffnet sie mithilfe des m„chtigen seesterns und fingus holt den inhalt vom vorderdeck her heraus. Er kommt dorthin, wenn er das muscheltier benutzt, das den fisch fangen will, der seinerseits durch die bewegung des steuerruders und eine scharfz„hnige mur„ne verwirrt und ver„ngstigt ist.	½c¤l¸Ìªº¤u¨ã±o¾a¨â°¦¤pºëÆF¦X§@¤~®³±o¨ì¡C·Å¥i¥Î¤@°¦¤j®ü¬P§â½c¤l¼À¶}¡Aªâ®æ´µ´µ«h±q«e¥ÒªO®³ªF¦è¡A¥L±o¾a¨©´ß¥h·m¨º±ø³½¡A³½·|³Q²ëªºÂ\°ÊÀ~¨ì¡A¤S³Q®üÅÁÀ~¤@¸õ¡A¤~·|¶Ã°ÊÅı¨©´ß±o¤â¡C
de ning£n modo, especie de monstruo! ­no quiero ir contigo!	·Q³£§O·Q¡A©Çª«¡I§Ú¤~¤£¸ò§A¨«¡I
