# 由 tools/merge_units.py 從 translation/out/*.tsv 產生，**不要直接編輯這個檔**——下次合併會蓋掉。
!	！
!!	！！
!!!	！！！
Nymphe	仙子
OBJEKTAUSTAUSCH	交換道具
OK, du zwerg, aber erst mal 'nen guten schluck und appetithappen her!	好啊小矮子，先拿好酒來再說！
OPTIONS	選項
ORTSWECHSEL	移動
Occhio	眼睛
Octopus	章魚
Oeil	眼睛
Oeuf	蛋
Oh OUI, grand merci! je peux vous ouvrir la moitié de la sortie!	喔，太謝謝了！不過我只能開一半的路……
Oh ja, allerliebsten dank! aber ich kann's euch nur zu hälfte aufmachen!	喔，太謝謝了！不過我只能開一半的路……
Oh yes, many thanks! but i can only open a part of the issue...	喔，太謝謝了！不過我只能開一半的路……
Oh yes, many thanks! but i can only solve part of the problem...	喔，太謝謝了！不過我只能開一半的路……
Oh, i'm fed up going round in circles! show us the way out, centipede!	唉，繞圈繞煩了！蜈蚣，帶路出去！
Ohr	耳朵
Oiseaux	鳥群
Ojo	眼睛
Old men	老頭
Ometto	傢伙
Opening	開口
Orecchio	耳朵
Oreille	耳朵
Oreja	耳朵
Orifice	開口
Orificio	開口
Orifizio	開口
Ornière	車轍
Orologeria	鐘錶店
Os	骨頭
Osso	骨頭
Oto	歐托
Otto	歐托
Oui! Il faut réveiller la braise à l'aide du soufflet...	對！要用風箱把火搧旺。
Oumkapok - lover of meatballs	翁卡波，肉丸愛好者
Oumkapok, amante di polpette	翁卡波，肉丸愛好者
Oumkapok, amateur de boulettes	翁卡波，肉丸愛好者
Oumkapok, der Boulettenfreund	翁卡波，肉丸愛好者
Oumkapok, lover of meatballs	翁卡波，肉丸愛好者
Ouverture	開口
PIEDS DE NEZ	扮鬼臉
PROGRAMMING Roland LACOSTE	程式 Roland LACOSTE
PSS,i'M WITH YOU! TO GET TO THE DEMON'S tHrone you need the key of the chest with the carved fish. bring me its imprint and a piece of metal, and i'll forge you a key.	噓！我挺你！要進惡魔王座，得要刻魚櫃的鑰匙。給我拓印和鐵片，我幫你打！
PSS,i'M WITH YOU! TO GET TO THE DEMON'S tHrone you need the key to the chest with the carved fish. bring me its imprint and a piece of metal, and i'll forge you a key.	噓！我挺你！要進惡魔王座，得要刻魚櫃的鑰匙。給我拓印和鐵片，我幫你打！
Painter	畫家
Palan	吊車
Palillo	鼓棒
Palla	保齡球
Pallone	氣球
Panier	籃子
Para acceder al reino de los muertos hay que dar en casa de tazaar con la mezcla que si está a la buena temperatura abre todas las puertas. para conseguirlo los gobliins tendrán que hostigar un poco al mago para recuperar unos cuantos objetos, entre ellos al que libere al esqueleto.	要去冥界，得先在塔薩爾那裡找到那瓶藥水，加熱到對的溫度就能打開所有的門。得想辦法惹惱這位魔法師，才能順手拿到幾樣東西，其中一樣能把骷髏放出來。
Paranco	吊車
Parchemin	羊皮紙
Parchment	羊皮紙
Patience ami forgeron, nous cherchons ce que tu nous a demandé...	耐心點，鐵匠，我們會找你要的……
Patience, good blacksmith, we'll look for what you asked...	耐心點，鐵匠，我們會找你要的……
Pearl	珍珠
Peintre	畫家
Peldaño	梯階
Pelota	氣球
Pencil	鉛筆
Penna	羽毛
Pennello	畫筆
Pepe	胡椒
Pepper	胡椒
Pequeño princípe, por favor, no os retraséis , ¡venga!	小王子，拜託別拖時間，快跟上！
Pergamena	羊皮紙
Pergament	羊皮紙
Pergamino	羊皮紙
Perla	珍珠
Perle	珍珠
Perro	狗
Pescado-lámpara	燈魚
Pesce spada	劍魚
Pesceluce	燈魚
Pez espada	劍魚
Pez-lámpara	燈魚
Pfeffer	胡椒
Pfeife	菸斗
Pflanze	植物
Pfütze	水窪
Phare	車燈
Pianta	植物
Picaporte	刀柄
Piedra	石頭
Pierre	石頭
Pietra	石頭
Pieuvre	章魚
Pilz	蘑菇
Pimienta	胡椒
Pince	衣夾
Pinceau	畫筆
Pincel	畫筆
Pinsel	畫筆
Pintor	畫家
Pinza	衣夾
Piolo	梯階
Piovra	章魚
Pipa	菸斗
Pipe	菸斗
Piranha	食人魚
Piraña	食人魚
Pirañha	食人魚
Pittore	畫家
Plant	植物
Planta	植物
Plante	植物
Platte	石板
Pluma	羽毛
Plume	羽毛
Poignée	刀柄
Point	刀尖
Pointe	刀尖
Poisson-lampe	燈魚
Poivre	胡椒
Polea	吊車
Polpetta	肉丸
Polpette	肉丸
Poltrona	扶手椅
Pomme	蘋果
Pommes	蘋果
Pompa per bici	打氣筒
Pompe à vélo	打氣筒
Pool	水窪
Porta	門
Porte	門
Portrait	肖像
Porträt	肖像
Possessed buffoon	附身小丑
Pot	漆罐
Pot hole	車轍
Pots	碗
Poule	雞
Pour accéder au royaume des morts il faut trouver chez tazaar la mixture qui, à la bonne température, ouvre toutes les portes. pour cela les gobliins devront énerver quelque peu le magicien afin de récupérer quelques objets dont celui qui décoincera le squelette...	要去冥界，得先在塔薩爾那裡找到那瓶藥水，加熱到對的溫度就能打開所有的門。得想辦法惹惱這位魔法師，才能順手拿到幾樣東西，其中一樣能把骷髏放出來。
Pouvez-vous nous céder le passage s'il-vous-plaît?	可以讓我們過去嗎？
Povero diavolo, non hai più jolly!!!	可憐蟲，你的提示用光啦！
Pozo	水井
Pozzanghera	水窪
Pozzo	水井
Prince Bouffon	小丑王子
Prince Buffoon	小丑王子
Prince Buffoon - a prisoner	被囚禁的小丑王子
Prince Buffoon a prisonner	被囚禁的小丑王子
Prince buffoon, having absorbed a magic mushroom, draws the gobliins into his playful dream. to get him out of the bubble in which the gobliins have emprisoned him, they must find a safety pin, using a cover as a catapult, after standing on it with a bowling ball.	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
Prince buffoon, having absorbed a magic mushroom, draws the gobliins into his playful dream. to get him out of the bubble in which the gobliins have imprisoned him, they must find a safety pin, using a cover as a catapult, after standing on it with a bowling ball.	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
Prince buffoon, having eaten a magic mushroom, draws the gobliins into his playful dream. to get him out of the bubble in which the gobliins enclose him, they must use a safety pin. they find one by using a cover as a catapult, after standing on it with a bowling ball.	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
Principe Buffone	小丑王子
Profuma di mielE. è buono da mangiare?	聞起來像蜂蜜，能吃嗎？
Príncipe Bufón	小丑王子
Puerta	門
Puits	水井
Pulpo	章魚
Pulsante	開關
Punaise	圖釘
Punaises	圖釘
Punta	刀尖
Puntina	圖釘
Puntine	圖釘
Pájaros	鳥群
Qu'est-ce que vous faites là-dedans?	你在裡面幹嘛？
Questo demone, sorto dal nulla ,ha deposto il re e regna al suo posto.	牠篡了王位，換自己當家……
Queue	尾巴
Quilles	保齡球瓶
REGLAGES	選項
REGOLAZIONE	選項
Raggio	光線
Rama	樹枝
Ramo	樹枝
Rathaus	村公所
Ratón	老鼠
Rauch	煙霧
Ray	光線
Rayo de sol	光線
Rayon	光線
Recipiente	容器
Red de mariposas	捕蝶網
Reloj de arena	沙漏
Relojería	鐘錶店
Ressort	彈簧
Rete per farfalle	捕蝶網
Retrato	肖像
Riese	巨人
Ritratto	肖像
Roca	岩石
Roccia	岩石
Rocher	岩石
Rock	岩石
Rohr	水管
Rope	繩子
Rospo	蟾蜍
Rudder	舵
Rung	梯階
Rustik	魯斯克
Récipient	容器
Rüstung	盔甲
S'il-vous-PLaît madame, indiquez-nous le chemin vers la salle du trône!	拜託，夫人，請告訴我們去王座廳的路！
S'il-vous-plaît brave géant... réveillez-vous!	拜託，好心的巨人，醒醒吧！
SCAMBIO DI OGGETTI	交換道具
SPOSTAMENTO	移動
Sabio	學者
Sablier	沙漏
Safety pin	別針
Saggio	學者
Sal	鹽
Salame	香腸
Salchichón	香腸
Sale	鹽
Salt	鹽
Salut collègue! alors on a réussi?	嘿，你好啊！有進展嗎？
Salut l'artisan, on n'a pas tout trouvé mais ça vient...	鐵匠你好，還沒找齊，但快了……
Salut, handwerksmeister, haben noch nicht alles gefunden,aber's kommt noch!	鐵匠你好，還沒找齊，但快了……
Salz	鹽
Sanduhr	沙漏
Sapo	蟾蜍
Sassofonista	薩克斯風手
Saucisson	香腸
Sausage	香腸
Savant	學者
Saxofonista	薩克斯風手
Saxophonist	薩克斯風手
Saxophoniste	薩克斯風手
Scafandro	潛水衣
Scaphandre	潛水衣
Scarafaggio	蟑螂
Sceau	印章
Schabe	蟑螂
Schauen Sie auf dem der Software beiliegenden Farbraster nach und tippen Sie die der jeweiligen Farbe zugehörige Zahl ein: 1 - rot 2 - schwarz 3 - gelb 4 - grün 5 - blau 6 - weiß 7 - grau 8 - malvenfarbig	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
Scheinwerfer	車燈
Scheletro	骷髏
Schlagloch	車轍
Schlagstock	鼓棒
Schloss	鎖孔
Schlüssel	鑰匙
Schmied	鐵匠
Schrank	櫃子
Schwamm	海綿
Schwanz	尾巴
Schwarzy	阿諾
Schwertfisch	劍魚
Schädel	骷髏頭
Scientist	學者
Scodelle	碗
Scopa	掃把
Seahorse	海馬
Seal	印章
Seed	種子
Seepferdchen	海馬
Seestern	海星
Segnalibro	書籤
Sel	鹽
Sello	印章
Seltsam, ein auge in dem Schädel!	奇怪，骷髏裡有隻眼睛！
Seme	種子
Semilla	種子
Serratura	鎖孔
Serrure	鎖孔
Señalador	書籤
Sgabello	凳子
Shell	貝殼
Sicherh.nadel	別針
Sicherheitsnadel	別針
Sie haben drei Joker frei!	玩家大人，你有三個提示！
Siegel	印章
Sigillo	印章
Sillón	扶手椅
Sirena	美人魚
Sirène	美人魚
Skeleton	骷髏
Skelett	骷髏
Skittles	保齡球瓶
Skull	骷髏頭
Smoke	煙霧
Soka	索卡
Solco	車轍
Soplillo	風箱
Sorry, but you must help us reCover our freedom!	抱歉，但你們得幫我們重獲自由！
Sotterraneo	地道
Soufflet	風箱
Souris	老鼠
Souterrain	地道
Spada	劍
Spilla	別針
Spitze	刀尖
Sponge	海綿
Spring	彈簧
Spring key	圓形鑰匙
Sprosse	梯階
Spugna	海綿
Squelette	骷髏
Stalopicus	史塔洛比庫斯
Stalopikus	史塔洛比庫斯
Star	星星
Starfish	海星
Statua	雕像
Statue	雕像
StechmÜcke	蚊子
Stechmücke	蚊子
Stein	石頭
Stella	星星
Stella marina	海星
Stern	星星
Steuerruder	舵
Stocking Cap	兜帽
Stone	石頭
Stool	凳子
Strange, an eye in a skull!	奇怪，骷髏裡有隻眼睛！
Strange... an eye in a skull!	奇怪，骷髏裡有隻眼睛！
Streichholz	火柴
Streichhölzer	火柴
Strick	繩子
Stuzzicadenti	牙籤
Subterráneo	地道
Sucked up into a tube, they come to the surface	被吸進管子，浮出水面！
Sucked up into a tube, they come to the surface.	被吸進管子，浮出水面！
Surtidor	水柱
Switch	開關
Sword	劍
Swordfish	劍魚
TEXT Muriel TRAMIS	文字 Muriel TRAMIS
THE GObliins were returning triumphantly to the villalge when they saw that the buffoon looked strange...	小精靈凱旋回村，卻見小丑神色有異……
THe two adventurers descend into the murky depths of a strange under-water world...	兩位冒險者，深入陌生海底世界的幽暗深淵……
THe two adventurers descended into the murky depths of a strange under-water world...	兩位冒險者，深入陌生海底世界的幽暗深淵……
THis child is possessed! i'll take him to my laboratory. We must make him drink the water of my fountain. get some and come right back!	這孩子中邪了！我帶他回實驗室。得讓他喝噴泉水，快去取水回來見我！
Tableau noir	黑板
Tablero	黑板
Tabouret	凳子
Taburete	凳子
Tail	尾巴
Tajo	砧板
Talpa	鼴鼠
Tana	獸穴
Tanière	獸穴
Tapa	蓋子
Tapadera	蓋子
Tapis	地毯
Tappeto	地毯
Tas de bois	柴堆
Tauchanzug	潛水衣
Taupe	鼴鼠
Tazaar	塔薩爾
Teekessel	茶壺
Teeth	牙齒
Teiera	茶壺
Teppich	地毯
Terrier	洞穴
Teschio	骷髏頭
Testa	頭
Tetera	茶壺
The ignoble Amoniak	卑劣的阿摩尼亞
Thumb tack	圖釘
Thumb tacks	圖釘
Thumbtack	圖釘
Thumbtacks	圖釘
Théière	茶壺
Timone	舵
Timón	舵
Toad	蟾蜍
Tom	湯姆
Tongue	舌頭
Toothpick	牙籤
Topf	漆罐
Topo	老鼠
Torre	塔樓
Tour	塔樓
Tower	塔樓
Town hall	村公所
Tranchée	壕溝
Trench	壕溝
Triste hère, tu n'as plus de jokers!!!	可憐蟲，你的提示用光啦！
Trou	洞
Truhe	箱子
Tube	水管
Tubo	水管
Tunnel	地道
Turm	塔樓
Tuyau	水管
TÜr	門
Tête	頭
Töpfe	碗
Tür	門
Türgriff	刀柄
Uccelli	鳥群
Uhrmacherwerkstatt	鐘錶店
Uhrschlüssel	大鑰匙
Um eine sanduhr geht es euch? OK, wenn ihr mir eine melodie in die uhr zaubert	要沙漏？好，把鐘的滴答換成旋律吧！
Umkapok, aficionado a las albóndigas	翁卡波，肉丸愛好者
Unterschlupf	獸穴
Uovo	蛋
VIVE le roi! je vais de ce pas quérir quelque ami pour tenter de le détacher!	國王萬歲！我這就去找人來幫忙解開他！
VIVa il re! vado a cercare qualche amico per tentare di sganciarlo!	國王萬歲！我這就去找人來幫忙解開他！
Va plutôt activer le soufflet, au lieu de m'ennuyer!	去搧風箱啦，別在這煩我！
Vaso	漆罐
Vautour	禿鷹
Vecchi	老頭
Vela	蠟燭
Ventana	窗戶
Ver	蚯蚓
Verme	蚯蚓
Viande	肉
Viejos	老頭
Vieux	老頭
Village	村莊
Villaggio	村莊
Vin	酒
Vino	酒
Vivalzart	維瓦札特
Voilà nous vendons des brosses...	其實，我們是來賣刷子的……
Vornehmer Herr	鄉紳
Vulture	禿鷹
VÖllig ungeniessbar, absolut eklig - die bouletten sind zu stark gewürzt!	難吃死了！這些肉丸辣過頭了！
Vögel	鳥群
Wachs	蠟
Wandtafel	黑板
Warum habt ihr meinen hofnarr entführt - sagt schon?! Er ist ein prinz!	為何抓走我們的小丑？他其實是王子……
Wasser	水
Wasserstrahl	水柱
Water	水
Wax	蠟
Wein	酒
Well	水井
Why have you taken our buffoon? he's a prince...	為何抓走我們的小丑？他其實是王子……
Winde	吊車
Window	窗戶
Wine	酒
Winkle	溫可
Wizard	巫師
Wood pile	柴堆
Worm	蚯蚓
Wurm	蚯蚓
Wurst	香腸
Wächter	守衛
Wäscheklammer	衣夾
Y bien, sí, precisamente... ¡mi guitarra padece de urticaria!	好啊好啊！我手癢正想彈吉他呢……
Yelmo	頭盔
You don't have any jokers here!	命運不讓你在這裡拿提示！
You have no jokers left!	可憐蟲，你的提示用光啦！
You have only one joker left!	你這笨蛋，只剩一個提示啦！
You have three jokers!	玩家大人，你有三個提示！
You have two jokers left!	紳士啊，你還剩兩個提示！
You haven't got any joker here!	命運不讓你在這裡拿提示！
You've got no jokers left!	可憐蟲，你的提示用光啦！
You've got only one joker left!	你這笨蛋，只剩一個提示啦！
You've got three jokers!	玩家大人，你有三個提示！
You've got two jokers left!	紳士啊，你還剩兩個提示！
Yunque	鐵砧
Zahnstocher	牙籤
Zampillo	水柱
Zanzara	蚊子
Zauberer	巫師
Zoticone, ti resta un solo jolly!	你這笨蛋，只剩一個提示啦！
Zunge	舌頭
Zähne	牙齒
a cursed castle standing in a hostile country inhabited by a	荒地裡有座被詛咒的城堡
a delicate child snatched from his home by a demon!	嬌弱的孩子被惡魔擄走了！
a la salida de la aldea erguíase el épico castillo decidieron dar una vuelta.	村外有座城堡，兩人決定逛逛
a tom, il nostro mastro-orologiaio, dovetebussare con due brevi colpetti..	那是鐘匠湯姆家，輕敲兩下就對了！
a tom, nuestro maestro relojero. dédos golpecitos en su puerta...	那是鐘匠湯姆家，輕敲兩下就對了！
a very good day to you, mister tree. can you give us some advice?	嗨，樹伯伯，可以給個建議嗎？
aber noch gibt es hoffnung!	但是還有救！
abita dai genitori?	你還跟爸媽住喔？
ach so, weg willste, du wanze! irrtum! hier steckste so fest wie ich auch!	喔？你想走？作夢！你跟我一樣永遠困在這
ah no, it's the wrong time. i'm exhausted, buzz off!	啊不，現在不是時候！我累爆了，滾啦！
ah no, now is not the time. i'm exhausted anyway, buzz off!	啊不，現在不是時候！我累爆了，滾啦！
ah non! c'est pas le moment... je suis épuisé. allez! Du vent!	啊不，現在不是時候！我累爆了，滾啦！
ah oui? tu pars vermine? illusion! comme moi tu es bloqué ici à jamais!	喔？你想走？作夢！你跟我一樣永遠困在這
ah sì! parti microbo! illusione! come me sei bloccato qui dentro per sempre!	喔？你想走？作夢！你跟我一樣永遠困在這
ah! badesalz! bist gar nicht so Übel! die feile in dem topf schenk ich dir!	啊！沐浴鹽！你不笨嘛！碗裡的銼刀送你！
ah! bath salts! you're o.K. you know! the file in that pot, 'tisyours...	啊！沐浴鹽！你不笨嘛！碗裡的銼刀送你！
ah! bath salts! you're ok after all. the file in that pot...it'syours!	啊！沐浴鹽！你不笨嘛！碗裡的銼刀送你！
ah! dei sali da bagno! non sei così scemo! la lima nella scodella...regalo!	啊！沐浴鹽！你不笨嘛！碗裡的銼刀送你！
ah! des sels de bain! t'es pas si bête! la lime dans ce bol là... c'est cadeau!	啊！沐浴鹽！你不笨嘛！碗裡的銼刀送你！
ah, capisco... andate a liberare quel povero bimbo...perdonate la diffidenza!	啊，我懂了！你們要救那孩子，抱歉多疑了
ah, now i understand! you want to free this poor child. excuse my suspicion...	啊，我懂了！你們要救那孩子，抱歉多疑了
aide-nous à retrouver le mouflet du vieil angoulafre!	幫我們找老安哥拉菲的小孩！
aiutaci a uscire da là, principessa degli abissi!	深海公主，幫我們離開這裡！
alla buon'ora! abbiamo ripreso il principe! addio! non vi saluto!	太好了！王子救回來了，我們閃啦！
allez bouge de là gros tas!	快點動一動，你這座肉山！
allez c'est l'heure gros fainéant... debout et que ça saute!	快點啦懶骨頭，該起床了！
allez descend morveux! on n'a pas que ça à faire!	快下來，臭小子！我們還有事要辦！
allez voir l'oiseau en face! il a 2 passions: la musique et les champignons	去對面找那隻鳥，牠愛音樂和蘑菇！
allez voir tom notre maître horloger il va vous faire passer le temps...	去找鐘匠湯姆，他最懂打發時間……
allora bambola, mi dai un bacetto? conosci di certo una scorciatoia!	寶貝，想親一下嗎？你知道近路吧！
allora vecchio ramo! abbiamo messo radici!	老木頭，還在那邊生根喔？
allora, si trova sempre il tempo di gironzolare? ti tengo d'occhio, io!	還在那晃啊？我盯著你們呢！
allora, è contenta?	這樣你滿意了嗎？
alors vieille branche... on prend racine?	老木頭，還在那邊生根喔？
alright baby, wanna little kiss? you know the short cut!	寶貝，想親一下嗎？你知道近路吧！
am besten amüsieren wir sie mal 'ne sekunde!	得想辦法逗這兩個老傢伙笑一下！
am dorfausgang lag das bekannte schloss, das zu besichtigen sie sich aufmachten	村外有座城堡，兩人決定逛逛
am ende vom dorf, das neben dem brunnen...	在村子盡頭，有噴泉那間。
amate così tanto il vostro nuovo re da dipingerlo con tanto ardore!	你們這麼愛新國王，畫得這麼起勁！
ambos aventureros descendieron a las simas insondables de un mundo submarino extraño y desconocido.	兩位冒險者，深入陌生海底世界的幽暗深淵……
amenez-lui le champignon que l'elfe désignera en échange d'une friandise!	把仙子指的菇拿給牠，記得先送份小禮！
amoniak and his two henchmen must be neutralized by making them eat the elixir of kindness with their favorite food. to capture the cockroaches, which can do all kinds of weird things, it's better to put on a glove. amoniak only likes ladybugs, but a well-disguised cockroach may do the trick.	要制伏阿摩尼亞和他兩個手下，得把友善藥水混進他們最愛吃的東西裡。蟑螂很難搞，最好戴上手套抓。阿摩尼亞只愛瓢蟲，但打扮得像的蟑螂應該也能矇混過關。
amoniak and his two henchmen must be neutralized by making them eat the elixir of kindness with their favourite food. to capture the cockroaches, which can do all kinds of weird things, it's better to put on a glove. amoniak only likes ladybirds, but a well disguised cockroach may do the trick.	要制伏阿摩尼亞和他兩個手下，得把友善藥水混進他們最愛吃的東西裡。蟑螂很難搞，最好戴上手套抓。阿摩尼亞只愛瓢蟲，但打扮得像的蟑螂應該也能矇混過關。
amoniak und seine beiden helfer kann man dadurch neutralisieren, DASS man ihnen - versteckt in ihrer lieblingsspeise - den freundtrunk eingibt. um die küchenschaben zu fangen, muss man sie aus dem auge heraus- jagen,indem man die zunge zieht und mit der hand in die ohren greift. ist sicher besser, einen handschuh zu benutzen... amoniak mag nur maikäfer, aber eine geschickt "geschminkte" schabe reicht wohl, ihn hinters licht zu führen...	要制伏阿摩尼亞和他兩個手下，得把友善藥水混進他們最愛吃的東西裡。蟑螂很難搞，最好戴上手套抓。阿摩尼亞只愛瓢蟲，但打扮得像的蟑螂應該也能矇混過關。
and who says you're going there for the right reason?	誰說你們去那是有正當理由？
andate a trovare tom, il nostro mastro orologiaio, vi farà passare il tempo...	去找鐘匠湯姆，他最懂打發時間……
andate al castello! ma attenzione, un gigante affamato sbarra la strada!	離開村子往城堡！小心飢餓巨人擋路！
andate dall'uccello lì di fronte! ha due sole passioni: la musica e i funghi	去對面找那隻鳥，牠愛音樂和蘑菇！
angesaugt durch ein rohr kamen sie nach oben	被吸進管子，浮出水面！
any chance of a treasure around here?	這附近會不會有寶藏啊？
aprende, listill0, que soy un gran rey es el demonio quien me tiene encerrado.	臭小子，我可是偉大國王！惡魔把我關這！
are you happy now?	這樣你滿意了嗎？
as THE GObliins return triumphantly to the village, they notice that the buffoon looks strange...	小精靈凱旋回村，卻見小丑神色有異……
as a matter of fact, we are salesmen...	其實，我們是來賣刷子的……
as a matter of fact, we're salesmen...	其實，我們是來賣刷子的……
aspirados por un tubo alcanzaron la superficie	被吸進管子，浮出水面！
aspirati da untubo, rie mersero alla superficie!	被吸進管子，浮出水面！
aspirés dans un tuyau,ils remontèrent àla surface!	被吸進管子，浮出水面！
assolutamente no vecchio mio! sto solo facendo il bagno!	才沒有，老兄，我只是在洗澡而已。
attends un peu que je t'attrape avorton, et je te tordrai le cou!	給我等著，臭小鬼，抓到就扭斷你脖子！
auf die beine, elefantenbaby!	快點動一動，你這座肉山！
ausgezeichnet! legt ihn in meine traum- und musikmaschine und kostet mal!	太棒了！放進我的音樂造夢機，嚐一口！
aux abords du château maudit, tout s'est détraqué. quand on entre par une des portes de l'arbre aux horloges, il est difficile de prévoir par où l'on va ressortir... pour se faire ouvrir la porte de tom, le maître-horloger, il faut attirer l'attention du maire avec un ballon. mais tom ne remettra aux gobliins un exemplaire de son savoir-faire que s'ils remplacent le tic-tac de l'horloge par une mélodie de quelques notes, composée par des musiciens talentueux.	城堡附近全亂了套，走進鐘樹的門，出來會到哪誰也說不準。要讓鐘錶大師湯姆開門，得先用氣球引開村長的注意力。但湯姆得等他們把時鐘刺耳的滴答聲換成幾位樂手譜的短曲，才肯露一手。
ayudadnos a salir de aquí, ¡oh princesa de los abismos!	深海公主，幫我們離開這裡！
because two outstanding heroes will try theirluck!	因為兩位大英雄要出馬了！
before drinking it, shouldn't i take another look around?	喝這個之前，要不要再看看四周？
beh, ribuongiorno, signor albero! non pensavo di rivederla così presto!	樹先生，又見面了！沒想到這麼快！
ben alors mon p'tit bonhomme qu'est-ce-que tu fais perché là-haut?	喂，小傢伙，你站在上面幹嘛？
ben oui je l'aime! il a fait de moi son préparateur officiel de repas royaux!	當然愛啊！他還封我當御用試菜官呢！
ben si justement... j'ai la guitare qui me démange!	好啊好啊！我手癢正想彈吉他呢……
bene, adesso è sparito il mocciosetto, e senza lasciare un recapito!	好了，這下小鬼不見蹤影了！
bevor ich diesen trunk schlucke, sollt ich mich vielleicht nochmal umsehen!	喝這個之前，要不要再看看四周？
bewohnt vom ausbund des bösen...	住著邪惡化身的惡魔……
bien le bonjour cher arbre, donnez-nous un conseil s'il-vous-plaît!	嗨，樹伯伯，可以給個建議嗎？
bien sûr il y a un moyen! Lui faire absorber de l'élixir de gentillesse!	當然有辦法！讓他喝下仁慈藥水就行！
bin grade sehr beschäftigt!	抱歉！我沒空！
bisognerebbe riuscire a distrarre questi due vecchiardi.	得想辦法引開這兩個老頭子。
bitte laß uns durch!	拜託讓我們過去啦！
bitte, kleiner prinz, sie bringen uns ganz schÖn in verspätung, los kommt!	小王子，拜託別拖時間，快跟上！
bizarre un oeil dans un crâne!	奇怪，骷髏裡有隻眼睛！
bloss nicht, ist wirklich der falsche moment! bin völlig erschöpft! haut ab!	啊不，現在不是時候！我累爆了，滾啦！
bon maintenant il a disparu le mouflet et sans laisser d'adresse!	好了，這下小鬼不見蹤影了！
bonjour ami cafard! pas commode de se déplacer ici!	哈囉，蟑螂兄！這裡真不好走！
bonjour madame, il fait beau là-dessous?	太太早安，下面天氣還好嗎？
borrow the carpet and come and see me, i can't hear you from here!	借地毯上來見我，這裡聽不清楚！
borrow the carpet and come up to see me. i can't hear you from up here!	借地毯上來見我，這裡聽不清楚！
bring him the mushroom that the nymph shows, in exchange for a little treat!	把仙子指的菇拿給牠，記得先送份小禮！
bring him the mushroom the nymph shows you in exchange for a little treat.	把仙子指的菇拿給牠，記得先送份小禮！
bringt ihm einen pilz. Für eine kleine leckerei zeigt euch die elfe, welchen!	把仙子指的菇拿給牠，記得先送份小禮！
brother dwarf, here we are! we have the two elements!	矮人兄弟，我們來了！兩樣都拿到了！
buenos días, señora, ¿se está bien ahí abajo?	太太早安，下面天氣還好嗎？
buongiorno amico scarafaggio ! mica facile muoversi qui!	哈囉，蟑螂兄！這裡真不好走！
buongiorno caro albero! ci dia un consiglio per favore!	嗨，樹伯伯，可以給個建議嗎？
buongiorno signora, fa bello là sotto?	太太早安，下面天氣還好嗎？
but all is not lost!	但是還有救！
but all is notlost!	但是還有救！
bye now! we've rescued the prince. see you later! we have to hurry!	太好了！王子救回來了，我們閃啦！
c'est bien la première fois que je vois un cafard en ray-ban et en baskets!	第一次看到蟑螂戴墨鏡穿球鞋！
c'est pour un sablier? bon remplacez le tic-tac de l'horloge par une mélodie...	要沙漏？好，把鐘的滴答換成旋律吧！
c'est un hold-up! la caisse vite!	打劫！錢通通交出來！
c'est un sceau... et alors?	這是個印章……那又怎樣？
c'est une belle bougie... mais elle n'a pas de mèche...	漂亮的蠟燭，可惜沒燭芯。
c'est une machine à réduire que le terrible démon m'a forcé à construire!	這是縮小機，是那可怕的惡魔逼我造的！
c'mon lazyhead, time to get up!	快點啦懶骨頭，該起床了！
c'mon, get down, peewee! we have other things to do!	快下來，臭小子！我們還有事要辦！
c'mon, get down, we've other things to do!	快下來，臭小子！我們還有事要辦！
c'mon, move, you big heap!	快點動一動，你這座肉山！
c'è qualcosa di prezioso qui?	這裡有什麼值錢東西嗎？
can i help you?	有什麼事嗎？
can you help us, noble magician, to make the prince drink?	尊敬的法師，能幫王子喝水嗎？
car deux héros d'envergure vont tenter l'aventure!	因為兩位大英雄要出馬了！
caro artista, vorrebbe suonarci un'aria del suo repertorio?	藝術家先生，能為我們演奏一曲嗎？
caro artista, ¿se dignaría tocarnos una tonada de su repertorio?	藝術家先生，能為我們演奏一曲嗎？
caro maestro desidereremmo ricevere una testimonianza del suo talento...	親愛的大師，想見識您的手藝……
caro maestro, nos complaceria tener una muestra de su talento...	親愛的大師，想見識您的手藝……
caro signore, lei sembra influente, ci aiuterebbe nella nostra ricerca?	大人這麼有派頭，能否助我們一臂之力？
